GROUP.ID,SAMPLING.EVENT.IDENTIFIER,GRID_CODE
G15589327,S275006309,GJ-KU-MAN-011
G15605794,S275006546,GJ-KU-MUN-023
G15604472,S275006882,GJ-KU-ABD-021
G15600975,S275006886,GJ-KU-BHU-024
G15600978,S275006895,GJ-KU-BHU-025
G15600979,S275006936,GJ-KU-BHU-027
G15600239,S275007048,GJ-KU-NAK-060
G15598583,S275007450,GJ-KU-ABD-027
G15598501,S275007478,GJ-KU-LIT-042
G15598476,S275008212,GJ-KU-BHU-122
G15598477,S275008218,GJ-KU-BHU-109
G15598478,S275008234,GJ-KU-BHU-120
G15599537,S275008272,GJ-KU-MAN-027
G15611771,S275008437,GJ-KU-RAP-060
G15611772,S275008470,GJ-KU-BHA-014
G15605915,S275008810,GJ-KU-LAK-007
G15605914,S275008836,GJ-KU-LAK-005
G15598120,S275009173,GJ-KU-ABD-095
G15597937,S275009768,GJ-KU-BHU-030
G15600369,S275009814,GJ-KU-ABD-025
G15599485,S275010119,GJ-KU-ABD-044
G15597515,S275010230,GJ-KU-LAK-015
G15597509,S275010256,GJ-KU-LAK-026
G15597512,S275010367,GJ-KU-LAK-039
G15597446,S275010418,GJ-KU-LAK-074
G15597550,S275010479,GJ-KU-RAP-016
G15605804,S275011082,GJ-KU-ANJ-034
G15600980,S275011142,GJ-KU-RAN-501
G15593692,S275011227,GJ-KU-BHU-104
G15593343,S275011577,GJ-KU-BHU-090
G15592923,S275011834,GJ-KU-MAN-037
G15592659,S275031955,GJ-KU-ABD-083
G15597338,S275032361,GJ-KU-ABD-047
G15591851,S275032748,GJ-KU-BHA-011
G15600371,S275033145,GJ-KU-ABD-023
G15591337,S275033386,GJ-KU-ABD-029
G15595370,S275033803,GJ-KU-RAP-005
G15595371,S275033828,GJ-KU-RAP-004
G15591085,S275033938,GJ-KU-RAP-077
G15591869,S275034769,GJ-KU-LAK-068
G15590229,S275058443,GJ-KU-ABD-085
G15591086,S275058657,GJ-KU-RAP-085
G15590008,S275058883,GJ-KU-RAP-007
G15589923,S275059502,GJ-KU-ABD-008
G15589797,S275063979,GJ-KU-MUN-007
G15589780,S275065542,GJ-KU-BHU-170
G15589664,S275066303,GJ-KU-ABD-060
G15589665,S275066426,GJ-KU-ABD-070
G15589856,S275067266,GJ-KU-RAN-531
G15589858,S275067367,GJ-KU-RAN-506
G15590230,S275067659,GJ-KU-MAN-009
G15613373,S275197760,GJ-KU-RAN-268
G15617327,S275198122,GJ-KU-ANJ-005
G15617329,S275198236,GJ-KU-BHA-051
G15617331,S275198275,GJ-KU-ANJ-001
G15617332,S275198320,GJ-KU-ANJ-003
G15617333,S275198406,GJ-KU-BHA-050
G15617736,S275334442,GJ-KU-NAK-007
G15596702,S275362561,GJ-KU-BHU-168
G15596708,S275362686,GJ-KU-MAN-008
G15625906,S275496420,GJ-KU-BHU-170
G15625860,S275496425,GJ-KU-MUN-007
