GROUP.ID,SAMPLING.EVENT.IDENTIFIER,GRID_CODE
G15606342,S275006360,GJ-KU-RAN-478
G15611448,S275006403,GJ-KU-LAK-055
G15608288,S275006466,GJ-KU-BHU-053
G15608289,S275006510,GJ-KU-BHU-055
G15601388,S275006700,GJ-KU-BHU-088
G15605148,S275006724,GJ-KU-LIT-023
G15605782,S275007035,GJ-KU-NAK-057
G15599743,S275007145,GJ-KU-BHA-032
G15599742,S275007185,GJ-KU-BHA-026
G15604758,S275007241,GJ-KU-MAN-013
G15598707,S275007300,GJ-KU-BHU-102
G15598659,S275007377,GJ-KU-BHU-076
G15598649,S275007393,GJ-KU-BHU-086
G15598474,S275008072,GJ-KU-BHU-097
G15598475,S275008087,GJ-KU-BHU-111
G15598565,S275008193,GJ-KU-RAP-064
G15598432,S275008300,GJ-KU-ABD-019
G15598374,S275008512,GJ-KU-MUN-026
G15598375,S275008566,GJ-KU-MUN-003
G15598376,S275008581,GJ-KU-MUN-009
G15598377,S275008622,GJ-KU-MUN-011
G15598319,S275008672,GJ-KU-NAK-030
G15598320,S275008703,GJ-KU-NAK-016
G15605910,S275008734,GJ-KU-LAK-022
G15605911,S275008759,GJ-KU-LAK-024
G15598207,S275008887,GJ-KU-NAK-048
G15598085,S275008940,GJ-KU-NAK-036
G15598099,S275008976,GJ-KU-NAK-038
G15596673,S275008992,GJ-KU-NAK-027
G15596641,S275009056,GJ-KU-NAK-040
G15596555,S275009068,GJ-KU-LIT-039
G15598162,S275009092,GJ-KU-ANJ-021
G15598059,S275009138,GJ-KU-BHU-012
G15606212,S275009394,GJ-KU-BHA-063
G15598070,S275009452,GJ-KU-ABD-051
G15597874,S275009534,GJ-KU-LAK-075
G15597875,S275009581,GJ-KU-LAK-070
G15597745,S275009714,GJ-KU-BHU-013
G15597741,S275009780,GJ-KU-RAN-505
G15597664,S275009936,GJ-KU-MAN-048
G15597688,S275009951,GJ-KU-GAN-001
G15598096,S275010004,GJ-KU-BHU-003
G15597563,S275010049,GJ-KU-GAN-004
G15598097,S275010064,GJ-KU-BHU-006
G15597510,S275010270,GJ-KU-LAK-027
G15611790,S275010312,GJ-KU-RAP-082
G15597544,S275010447,GJ-KU-ABD-001
G15597685,S275010520,GJ-KU-RAP-089
G15597321,S275010537,GJ-KU-ANJ-039
G15597665,S275010562,GJ-KU-MAN-024
G15597287,S275010597,GJ-KU-MAN-042
G15598341,S275010645,GJ-KU-BHU-065
G15598276,S275010680,GJ-KU-BHU-150
G15597268,S275010782,GJ-KU-ANJ-013
G15598071,S275010895,GJ-KU-ABD-087
G15606194,S275010968,GJ-KU-BHA-067
G15598211,S275011002,GJ-KU-BHU-107
G15596453,S275011102,GJ-KU-ANJ-037
G15592815,S275011463,GJ-KU-ABD-043
G15592921,S275011626,GJ-KU-MAN-040
G15592876,S275011678,GJ-KU-RAP-067
G15592882,S275011727,GJ-KU-RAP-079
G15592887,S275011745,GJ-KU-RAP-069
G15592924,S275011871,GJ-KU-MAN-018
G15592816,S275011992,GJ-KU-NAK-051
G15592925,S275031426,GJ-KU-MAN-029
G15598074,S275031502,GJ-KU-ABD-062
G15598076,S275031590,GJ-KU-ABD-079
G15598080,S275031689,GJ-KU-ABD-072
G15594779,S275032067,GJ-KU-ABD-010
G15592409,S275032132,GJ-KU-RAP-053
G15591917,S275032470,GJ-KU-BHU-100
G15591886,S275032585,GJ-KU-BHA-005
G15591850,S275032614,GJ-KU-RAN-389
G15591852,S275032791,GJ-KU-BHA-009
G15591639,S275032951,GJ-KU-LAK-046
G15591640,S275032989,GJ-KU-LAK-018
G15600370,S275033120,GJ-KU-ABD-013
G15591380,S275033315,GJ-KU-BHU-088
G15591835,S275033527,GJ-KU-ANJ-030
G15591439,S275033609,GJ-KU-LAK-009
G15591492,S275033697,GJ-KU-NAK-067
G15612215,S275034025,GJ-KU-BHA-043
G15593475,S275034102,GJ-KU-BHU-139
G15591039,S275034190,GJ-KU-BHU-036
G15597551,S275034293,GJ-KU-RAP-033
G15598265,S275034421,GJ-KU-LAK-003
G15597949,S275034519,GJ-KU-BHU-047
G15591217,S275034632,GJ-KU-ANJ-012
G15612622,S275055762,GJ-KU-RAN-167
G15612623,S275055790,GJ-KU-RAN-219
G15590717,S275056029,GJ-KU-ABD-065
G15591088,S275056104,GJ-KU-NAK-068
G15592439,S275056180,GJ-KU-NAK-059
G15590698,S275056351,GJ-KU-ABD-054
G15612638,S275056539,GJ-KU-BHA-053
G15593476,S275056650,GJ-KU-BHU-128
G15590536,S275056767,GJ-KU-RAP-050
G15612642,S275056933,GJ-KU-LAK-020
G15591440,S275056992,GJ-KU-LAK-012
G15590285,S275057141,GJ-KU-NAK-010
G15590268,S275057239,GJ-KU-NAK-005
G15597952,S275057376,GJ-KU-BHU-017
G15597955,S275057572,GJ-KU-BHU-028
G15590399,S275057759,GJ-KU-NAK-043
G15590082,S275058116,GJ-KU-LAK-049
G15590009,S275059156,GJ-KU-RAP-008
G15590556,S275059797,GJ-KU-RAP-031
G15590020,S275060078,GJ-KU-MAN-051
G15590080,S275060142,GJ-KU-LAK-067
G15598098,S275060238,GJ-KU-RAN-325
G15591083,S275060321,GJ-KU-RAP-088
G15589811,S275060458,GJ-KU-LAK-031
G15589745,S275060522,GJ-KU-LAK-045
G15589729,S275065834,GJ-KU-ABD-067
G15598517,S275066009,GJ-KU-BHA-019
G15593477,S275066127,GJ-KU-BHU-137
G15598515,S275066580,GJ-KU-BHA-024
G15589834,S275066699,GJ-KU-BHU-130
G15589643,S275066822,GJ-KU-MAN-021
G15589824,S275066974,GJ-KU-ANJ-043
G15590022,S275067070,GJ-KU-MAN-052
G15589657,S275067179,GJ-KU-BHU-022
G15589516,S275067521,GJ-KU-ANJ-017
G15590557,S275067782,GJ-KU-RAP-029
G15593478,S275067980,GJ-KU-BHU-124
G15589837,S275068173,GJ-KU-BHU-141
G15589884,S275068251,GJ-KU-BHU-001
G15589287,S275068337,GJ-KU-ANJ-025
G15613372,S275197728,GJ-KU-RAN-270
G15605147,S275198607,GJ-KU-LIT-025
G15605965,S275199229,GJ-KU-LIT-010
G15597331,S275225603,GJ-KU-MAN-013
G15598372,S275334341,GJ-KU-MAN-044
G15617735,S275334436,GJ-KU-NAK-012
G15621595,S275362485,GJ-KU-BHU-145
G15596705,S275362578,GJ-KU-BHU-161
G15596709,S275362653,GJ-KU-BHU-152
G15605741,S276952686,GJ-KU-LAK-035
G15605742,S276952690,GJ-KU-LAK-050
G15616734,S276952720,GJ-KU-RAP-099
G15616733,S276952723,GJ-KU-BHA-061
G15616735,S276952724,GJ-KU-BHA-073
G15616742,S276952732,GJ-KU-BHA-059
G15669235,S276952741,GJ-KU-ABD-021
G15598912,S276952815,GJ-KU-BHU-088
G15599655,S276952816,GJ-KU-NAK-064
G15598416,S276952818,GJ-KU-RAP-064
G15599659,S276952825,GJ-KU-NAK-060
G15597871,S276952839,GJ-KU-BHU-147
G15597714,S276952843,GJ-KU-BHU-053
G15597684,S276952848,GJ-KU-RAP-093
G15597396,S276952857,GJ-KU-RAP-035
G15598209,S276952861,GJ-KU-BHU-107
G15597107,S276952862,GJ-KU-BHU-155
G15593623,S276952865,GJ-KU-BHU-102
G15593452,S276952866,GJ-KU-BHU-102
G15598075,S276952869,GJ-KU-ABD-078
G15592437,S276952891,GJ-KU-NAK-059
G15590647,S276952895,GJ-KU-NAK-003
G15590456,S276952926,GJ-KU-LIT-014
