GROUP.ID,SAMPLING.EVENT.IDENTIFIER,GRID_CODE
G8890581,S118411359,GJ-KU-ABD-064
G8890139,S118412271,GJ-KU-MAN-037
G8890340,S118412426,GJ-KU-BHA-022
G8890186,S118412972,GJ-KU-BHA-029
G8897607,S118413383,GJ-KU-LAK-070
G8891807,S118413569,GJ-KU-RAP-047
G8891767,S118413702,GJ-KU-BHA-001
G8890342,S118414478,GJ-KU-NAK-047
G8890360,S118414604,GJ-KU-RAP-033
G8890786,S118414611,GJ-KU-BHU-165
G8890376,S118414797,GJ-KU-MAN-042
G8890403,S118415181,GJ-KU-ABD-008
G8890621,S118415371,GJ-KU-ANJ-001
G8890670,S118415695,GJ-KU-BHA-036
G8890598,S118415794,GJ-KU-LAK-009
G8890583,S118415978,GJ-KU-ABD-038
G8890582,S118415987,GJ-KU-ABD-051
G8890472,S118416156,GJ-KU-LAK-075
G8897606,S118416290,GJ-KU-ABD-079
G8891826,S118416501,GJ-KU-RAP-079
G8890669,S118416561,GJ-KU-BHA-026
G8891482,S118416898,GJ-KU-LAK-025
G8891492,S118416921,GJ-KU-LAK-026
G8891490,S118416963,GJ-KU-RAN-528
G8890612,S118417095,GJ-KU-ABD-019
G8890632,S118417911,GJ-KU-MAN-031
G8902474,S118418146,GJ-KU-ANJ-029
G8890482,S118418511,GJ-KU-MAN-046
G8890659,S118418523,GJ-KU-MAN-052
G8890667,S118418665,GJ-KU-MAN-047
G8891304,S118419067,GJ-KU-LAK-022
G8890828,S118419532,GJ-KU-BHA-021
G8897605,S118419687,GJ-KU-ABD-019
G8902472,S118420030,GJ-KU-ANJ-018
G8890780,S118420033,GJ-KU-BHU-149
G8923467,S118420860,GJ-KU-LAK-005
G8891376,S118421198,GJ-KU-NAK-043
G8917851,S118421374,GJ-KU-ABD-083
G8890869,S118421450,GJ-KU-NAK-047
G8890915,S118422235,GJ-KU-BHU-107
G8904499,S118422296,GJ-KU-MUN-011
G8894189,S118422497,GJ-KU-RAP-050
G8917857,S118422594,GJ-KU-ABD-089
G8891204,S118424330,GJ-KU-NAK-016
G8900845,S118424371,GJ-KU-RAP-061
G8891039,S118425543,GJ-KU-BHU-119
G8891383,S118426235,GJ-KU-ABD-001
G8917852,S118428672,GJ-KU-ABD-087
G8891203,S118428893,GJ-KU-NAK-008
G8891279,S118430336,GJ-KU-ABD-041
G8891278,S118430405,GJ-KU-ABD-029
G8897597,S118433415,GJ-KU-RAN-325
G8897596,S118434838,GJ-KU-BHU-001
G8891857,S118438747,GJ-KU-LAK-015
G8891855,S118438831,GJ-KU-LAK-014
S118441463,S118441463,GJ-KU-LIT-031
G8892217,S118444593,GJ-KU-RAP-002
G8897598,S118445637,GJ-KU-RAP-005
G8892398,S118447215,GJ-KU-BHU-013
G8892620,S118448118,GJ-KU-BHA-002
G8892621,S118448860,GJ-KU-RAN-389
G8918563,S118449208,GJ-KU-BHU-024
G8918565,S118449245,GJ-KU-BHU-026
G8892622,S118449366,GJ-KU-RAN-478
G8918575,S118449601,GJ-KU-BHU-017
G8918597,S118449685,GJ-KU-RAN-501
G8892623,S118449886,GJ-KU-BHA-003
S118476727,S118476727,GJ-KU-BHU-150
G8895740,S118477078,GJ-KU-BHA-020
G8895727,S118477782,GJ-KU-NAK-050
G8895020,S118478042,GJ-KU-BHU-141
G8895739,S118478085,GJ-KU-BHA-020
G8896485,S118478203,GJ-KU-RAN-389
G8895324,S118480205,GJ-KU-NAK-002
G8895738,S118480310,GJ-KU-BHA-014
S118480586,S118480586,GJ-KU-ANJ-027
G8917847,S118480746,GJ-KU-ABD-085
G8902471,S118480938,GJ-KU-ANJ-008
G8901083,S118481206,GJ-KU-BHA-049
G8895443,S118481304,GJ-KU-NAK-002
G8896484,S118481466,GJ-KU-BHA-009
G8895429,S118481679,GJ-KU-BHU-152
G8895724,S118481818,GJ-KU-NAK-052
G8895737,S118481858,GJ-KU-BHA-014
G8896483,S118481925,GJ-KU-BHA-005
G8895735,S118482958,GJ-KU-BHA-014
S118483189,S118483189,GJ-KU-BHA-005
G8895676,S118483602,GJ-KU-LAK-042
G8902469,S118483616,GJ-KU-ANJ-013
G8895674,S118483799,GJ-KU-LAK-028
G8895673,S118483853,GJ-KU-LAK-041
S118484433,S118484433,GJ-KU-BHU-117
G8895596,S118484767,GJ-KU-BHU-108
G8902468,S118485629,GJ-KU-BHA-063
S118485808,S118485808,GJ-KU-RAP-096
G8895749,S118485995,GJ-KU-MAN-013
G8895782,S118486125,GJ-KU-NAK-036
G8895786,S118486151,GJ-KU-NAK-026
G8895790,S118486178,GJ-KU-NAK-037
G8895889,S118487115,GJ-KU-BHU-168
G8895895,S118487185,GJ-KU-RAN-531
G8896072,S118487978,GJ-KU-LAK-074
G8896149,S118488474,GJ-KU-ABD-027
G8904488,S118488482,GJ-KU-BHU-053
G8896145,S118489192,GJ-KU-ABD-042
G8896028,S118489202,GJ-KU-ABD-023
G8902467,S118489991,GJ-KU-BHA-053
G8896069,S118490749,GJ-KU-LAK-003
G8896088,S118491229,GJ-KU-BHU-145
G8917850,S118492168,GJ-KU-MAN-027
G8897279,S118492224,GJ-KU-LAK-040
G8896553,S118492332,GJ-KU-NAK-058
G8897277,S118492458,GJ-KU-LAK-040
G8902466,S118492902,GJ-KU-BHA-033
G8896214,S118492999,GJ-KU-ABD-054
G8896213,S118493047,GJ-KU-ABD-066
G8896281,S118494337,GJ-KU-LAK-048
G8896280,S118494534,GJ-KU-LAK-034
G8897590,S118496252,GJ-KU-RAP-013
G8897587,S118496582,GJ-KU-RAP-012
G8896592,S118497665,GJ-KU-ABD-049
G8896482,S118498048,GJ-KU-BHA-010
G8896481,S118498421,GJ-KU-BHA-006
G8896589,S118498651,GJ-KU-ABD-058
G8896588,S118498841,GJ-KU-ABD-070
G8896587,S118499131,GJ-KU-ABD-037
G8896586,S118499726,GJ-KU-ABD-044
G8897586,S118500754,GJ-KU-RAP-014
G8897585,S118504394,GJ-KU-RAP-016
G8897584,S118507399,GJ-KU-RAP-029
G8897592,S118515088,GJ-KU-ABD-047
G8904485,S118543956,GJ-KU-NAK-007
G8904484,S118543976,GJ-KU-NAK-014
G8904483,S118544016,GJ-KU-NAK-021
G8900132,S118544354,GJ-KU-LIT-024
G8900147,S118544473,GJ-KU-LIT-010
G8900157,S118544559,GJ-KU-LIT-023
G8900264,S118544657,GJ-KU-LIT-022
G8900259,S118544791,GJ-KU-NAK-023
G8900227,S118545160,GJ-KU-NAK-035
G8900226,S118545362,GJ-KU-NAK-022
G8900220,S118545870,GJ-KU-NAK-034
S118660853,S118660853,GJ-KU-LAK-017
G8897591,S118666809,GJ-KU-MAN-012
