GROUP.ID,SAMPLING.EVENT.IDENTIFIER,GRID_CODE
G15598321,S274330149,GJ-KU-ABD-026
G15589035,S274333955,GJ-KU-NAK-052
G15589327,S274336550,GJ-KU-MAN-011
G15589287,S274336999,GJ-KU-ANJ-025
G15589884,S274337487,GJ-KU-BHU-001
G15589225,S274337555,GJ-KU-BHU-170
G15589837,S274338013,GJ-KU-BHU-141
G15590082,S274338736,GJ-KU-LAK-049
G15593478,S274338982,GJ-KU-BHU-124
G15589328,S274339006,GJ-KU-MAN-011
G15596709,S274339432,GJ-KU-BHU-152
G15592925,S274339752,GJ-KU-MAN-029
G15590557,S274339819,GJ-KU-RAP-029
G15590230,S274339985,GJ-KU-MAN-009
G15589835,S274340033,GJ-KU-NAK-063
G15589664,S274340186,GJ-KU-ABD-060
G15605914,S274340217,GJ-KU-LAK-005
G15598319,S274340496,GJ-KU-NAK-030
G15589745,S274340591,GJ-KU-LAK-045
G15592876,S274340662,GJ-KU-RAP-067
G15591086,S274340762,GJ-KU-RAP-085
G15589784,S274341199,GJ-KU-BHU-170
G15617333,S274341570,GJ-KU-BHA-050
G15589658,S274342047,GJ-KU-LIT-031
G15589508,S274342260,GJ-KU-BHU-158
G15589516,S274342336,GJ-KU-ANJ-017
G15589858,S274342342,GJ-KU-RAN-506
G15589856,S274342390,GJ-KU-RAN-531
G15589657,S274342446,GJ-KU-BHU-022
G15590080,S274343104,GJ-KU-LAK-067
G15590021,S274343407,GJ-KU-MAN-052
G15589824,S274343408,GJ-KU-ANJ-043
G15589643,S274343618,GJ-KU-MAN-021
G15589834,S274343832,GJ-KU-BHU-130
G15589665,S274345521,GJ-KU-ABD-070
G15598515,S274345615,GJ-KU-BHA-024
G15593477,S274345793,GJ-KU-BHU-137
G15598517,S274345947,GJ-KU-BHA-019
G15589833,S274346187,GJ-KU-BHU-130
G15592924,S274346628,GJ-KU-MAN-018
G15589729,S274347043,GJ-KU-ABD-067
G15589937,S274347573,GJ-KU-MAN-032
G15592882,S274348726,GJ-KU-RAP-079
G15617332,S274348891,GJ-KU-ANJ-003
G15589780,S274349024,GJ-KU-BHU-170
G15589984,S274349253,GJ-KU-BHU-165
G15589811,S274349268,GJ-KU-LAK-031
G15589797,S274349621,GJ-KU-MUN-007
G15591083,S274350444,GJ-KU-RAP-088
G15598098,S274351851,GJ-KU-RAN-325
G15590456,S274352026,GJ-KU-LIT-014
G15590020,S274352337,GJ-KU-MAN-051
G15589896,S274352657,GJ-KU-ABD-038
G15589895,S274353130,GJ-KU-ABD-060
G15589897,S274353578,GJ-KU-ABD-037
G15590556,S274353747,GJ-KU-RAP-031
G15589923,S274353782,GJ-KU-ABD-008
G15589935,S274356117,GJ-KU-MAN-048
G15590009,S274357282,GJ-KU-RAP-008
G15590008,S274357330,GJ-KU-RAP-007
G15590002,S274359157,GJ-KU-BHU-098
G15590229,S274362695,GJ-KU-ABD-085
G15592923,S274367247,GJ-KU-MAN-037
G15590228,S274367725,GJ-KU-ABD-091
G15590226,S274367799,GJ-KU-ABD-091
G15590227,S274367941,GJ-KU-ABD-091
