GROUP.ID,SAMPLING.EVENT.IDENTIFIER,GRID_CODE
S118393883,S118393883,GJ-KU-LAK-017
G8890627,S118396238,GJ-KU-BHU-003
S118397034,S118397034,GJ-KU-LAK-017
G8889894,S118397285,GJ-KU-LAK-017
S118405441,S118405441,GJ-KU-RAP-052
G8889829,S118408290,GJ-KU-NAK-045
G8889856,S118408347,GJ-KU-LAK-063
G8889916,S118409166,GJ-KU-LAK-017
G8890189,S118409587,GJ-KU-BHA-031
G8915364,S118411168,GJ-KU-LIT-007
G8890103,S118411681,GJ-KU-LAK-031
G8890139,S118412288,GJ-KU-MAN-037
G8896266,S118412478,GJ-KU-NAK-007
G8896265,S118412559,GJ-KU-NAK-007
G8890172,S118412803,GJ-KU-MAN-048
G8890188,S118412877,GJ-KU-BHA-032
G8896264,S118412950,GJ-KU-NAK-013
S118413056,S118413056,GJ-KU-NAK-037
G8890262,S118413105,GJ-KU-LAK-031
G8900843,S118413284,GJ-KU-BHA-022
G8890601,S118413593,GJ-KU-BHA-031
G14370415,S118413760,GJ-KU-ABD-043
G8902473,S118414217,GJ-KU-ANJ-043
G8890332,S118414277,GJ-KU-NAK-036
G8890334,S118414286,GJ-KU-NAK-036
G8890357,S118414573,GJ-KU-MAN-038
G8890388,S118414795,GJ-KU-LAK-046
G8890439,S118414977,GJ-KU-LAK-032
G8917843,S118415375,GJ-KU-ABD-087
S118415390,S118415390,GJ-KU-BHA-036
G8890430,S118415702,GJ-KU-LAK-046
G8890438,S118415763,GJ-KU-LAK-017
S118415829,S118415829,GJ-KU-BHU-002
G8890599,S118415836,GJ-KU-ANJ-004
G8891827,S118415910,GJ-KU-RAP-069
G8890584,S118416017,GJ-KU-ABD-051
G8890791,S118416029,GJ-KU-MUN-002
G8890482,S118416036,GJ-KU-MAN-046
G8890585,S118416040,GJ-KU-ABD-051
G8891979,S118416108,GJ-KU-RAP-074
G8891378,S118416224,GJ-KU-NAK-051
G8902475,S118416226,GJ-KU-MUN-016
G8891377,S118416239,GJ-KU-ABD-043
G8890515,S118416516,GJ-KU-MAN-050
G8900847,S118416575,GJ-KU-BHA-026
G8891999,S118416616,GJ-KU-RAP-085
G8922859,S118416743,GJ-KU-LAK-019
S118416765,S118416765,GJ-KU-ABD-079
G8890664,S118416876,GJ-KU-LAK-019
G8891491,S118416944,GJ-KU-RAN-528
G8891489,S118416973,GJ-KU-RAN-529
G8891488,S118417003,GJ-KU-LAK-026
G8891487,S118417019,GJ-KU-LAK-024
G8922937,S118417057,GJ-KU-LAK-003
S118417426,S118417426,GJ-KU-BHA-021
G8890595,S118417466,GJ-KU-BHU-006
G8922844,S118417489,GJ-KU-LAK-003
G8890600,S118417518,GJ-KU-ANJ-004
S118417548,S118417548,GJ-KU-BHU-090
G8890604,S118417593,GJ-KU-BHU-011
G8891486,S118417596,GJ-KU-LAK-024
G8904477,S118417699,GJ-KU-ABD-048
G8890613,S118417721,GJ-KU-BHU-012
G8891825,S118417765,GJ-KU-RAP-078
S118417904,S118417904,GJ-KU-RAN-457
G8890652,S118418321,GJ-KU-LAK-045
G8891308,S118418748,GJ-KU-LAK-022
G8891307,S118418753,GJ-KU-LAK-022
G8891306,S118418811,GJ-KU-LAK-036
G8891305,S118418909,GJ-KU-LAK-021
G8895825,S118418992,GJ-KU-LAK-010
G8895824,S118419035,GJ-KU-LAK-017
G8895823,S118419053,GJ-KU-LAK-017
G8891303,S118419141,GJ-KU-LAK-037
G8891830,S118419185,GJ-KU-RAP-069
G8891302,S118419224,GJ-KU-LAK-035
G8891069,S118419314,GJ-KU-BHU-107
G8890861,S118419448,GJ-KU-ANJ-005
G8900844,S118419577,GJ-KU-BHA-021
