GROUP.ID,SAMPLING.EVENT.IDENTIFIER,GRID_CODE
S118393883,S118393883,GJ-KU-LAK-017
G8890627,S118396238,GJ-KU-BHU-003
S118397034,S118397034,GJ-KU-LAK-017
G8889894,S118397285,GJ-KU-LAK-017
S118405441,S118405441,GJ-KU-RAP-052
G8889829,S118408290,GJ-KU-NAK-045
G8889856,S118408347,GJ-KU-LAK-063
G8889916,S118409166,GJ-KU-LAK-017
G8890189,S118409587,GJ-KU-BHA-031
G8915364,S118411168,GJ-KU-LIT-007
G8890581,S118411359,GJ-KU-ABD-064
G8890103,S118411681,GJ-KU-LAK-031
G8890139,S118412271,GJ-KU-MAN-037
G8890340,S118412426,GJ-KU-BHA-022
G8896266,S118412478,GJ-KU-NAK-007
G8896265,S118412559,GJ-KU-NAK-007
G8890172,S118412803,GJ-KU-MAN-048
G8890188,S118412877,GJ-KU-BHA-032
G8896264,S118412950,GJ-KU-NAK-013
G8890186,S118412972,GJ-KU-BHA-029
S118413056,S118413056,GJ-KU-NAK-037
G8890262,S118413105,GJ-KU-LAK-031
G8900843,S118413284,GJ-KU-BHA-022
G8897607,S118413383,GJ-KU-LAK-070
G8891807,S118413569,GJ-KU-RAP-047
G8890601,S118413593,GJ-KU-BHA-031
G8891767,S118413702,GJ-KU-BHA-001
G14370415,S118413760,GJ-KU-ABD-043
G8902473,S118414217,GJ-KU-ANJ-043
G8890332,S118414277,GJ-KU-NAK-036
G8890334,S118414286,GJ-KU-NAK-036
G8890342,S118414478,GJ-KU-NAK-047
G8890357,S118414573,GJ-KU-MAN-038
G8890360,S118414604,GJ-KU-RAP-033
G8890786,S118414611,GJ-KU-BHU-165
G8890388,S118414795,GJ-KU-LAK-046
G8890376,S118414797,GJ-KU-MAN-042
G8890439,S118414977,GJ-KU-LAK-032
G8890403,S118415181,GJ-KU-ABD-008
G8890621,S118415371,GJ-KU-ANJ-001
G8917843,S118415375,GJ-KU-ABD-087
S118415390,S118415390,GJ-KU-BHA-036
G8890670,S118415695,GJ-KU-BHA-036
G8890430,S118415702,GJ-KU-LAK-046
G8890438,S118415763,GJ-KU-LAK-017
G8890598,S118415794,GJ-KU-LAK-009
S118415829,S118415829,GJ-KU-BHU-002
G8890599,S118415836,GJ-KU-ANJ-004
G8891827,S118415910,GJ-KU-RAP-069
G8890583,S118415978,GJ-KU-ABD-038
G8890582,S118415987,GJ-KU-ABD-051
G8890584,S118416017,GJ-KU-ABD-051
G8890791,S118416029,GJ-KU-MUN-002
G8890482,S118416036,GJ-KU-MAN-046
G8890585,S118416040,GJ-KU-ABD-051
G8891979,S118416108,GJ-KU-RAP-074
G8890472,S118416156,GJ-KU-LAK-075
G8891378,S118416224,GJ-KU-NAK-051
G8902475,S118416226,GJ-KU-MUN-016
G8891377,S118416239,GJ-KU-ABD-043
G8897606,S118416290,GJ-KU-ABD-079
G8891826,S118416501,GJ-KU-RAP-079
G8890515,S118416516,GJ-KU-MAN-050
G8890669,S118416561,GJ-KU-BHA-026
G8900847,S118416575,GJ-KU-BHA-026
G8891999,S118416616,GJ-KU-RAP-085
G8922859,S118416743,GJ-KU-LAK-019
S118416765,S118416765,GJ-KU-ABD-079
G8890664,S118416876,GJ-KU-LAK-019
G8891482,S118416898,GJ-KU-LAK-025
G8891492,S118416921,GJ-KU-LAK-026
G8891491,S118416944,GJ-KU-RAN-528
G8891490,S118416963,GJ-KU-RAN-528
G8891489,S118416973,GJ-KU-RAN-529
G8891488,S118417003,GJ-KU-LAK-026
G8891487,S118417019,GJ-KU-LAK-024
G8922937,S118417057,GJ-KU-LAK-003
G8890612,S118417095,GJ-KU-ABD-019
S118417426,S118417426,GJ-KU-BHA-021
