GROUP.ID,SAMPLING.EVENT.IDENTIFIER,GRID_CODE
G13032823,S195004723,GJ-KU-NAK-043
G13032822,S195004990,GJ-KU-NAK-042
G13032509,S195006231,GJ-KU-LAK-031
G13069064,S195006559,GJ-KU-GAN-001
G13032742,S195006670,GJ-KU-LAK-009
G13032505,S195007020,GJ-KU-LAK-058
G13032879,S195009636,GJ-KU-RAP-034
G13046335,S195010169,GJ-KU-RAN-389
G13046619,S195010438,GJ-KU-GAN-001
G13033206,S195010457,GJ-KU-RAP-047
G13040684,S195010926,GJ-KU-MAN-052
G13032878,S195011056,GJ-KU-RAP-033
G13036031,S195011089,GJ-KU-LAK-039
G13048172,S195011366,GJ-KU-NAK-003
G13032738,S195011376,GJ-KU-LAK-020
G13032821,S195011449,GJ-KU-NAK-041
G13032820,S195011492,GJ-KU-NAK-030
G13032819,S195011502,GJ-KU-NAK-030
G13032818,S195011513,GJ-KU-NAK-041
G13040549,S195011952,GJ-KU-ABD-078
G13040779,S195011977,GJ-KU-BHU-152
G13039822,S195012072,GJ-KU-MAN-009
G13033292,S195012246,GJ-KU-RAP-099
G13038283,S195012576,GJ-KU-RAN-519
G13032826,S195013004,GJ-KU-MUN-011
G13032877,S195013007,GJ-KU-RAP-053
G13032817,S195013310,GJ-KU-NAK-043
G13039412,S195013498,GJ-KU-NAK-060
G13046617,S195013875,GJ-KU-BHA-063
G13040685,S195013934,GJ-KU-MAN-051
G13039821,S195014009,GJ-KU-ABD-093
G13038284,S195014048,GJ-KU-RAP-013
G13032816,S195014123,GJ-KU-NAK-043
G13032841,S195014199,GJ-KU-ABD-043
G13032840,S195014388,GJ-KU-ABD-054
G13065241,S195014514,GJ-KU-BHU-120
G13048171,S195014653,GJ-KU-LAK-041
G13033398,S195015261,GJ-KU-BHA-022
G13039413,S195015295,GJ-KU-RAP-073
G13040965,S195015877,GJ-KU-LIT-040
G13040862,S195016292,GJ-KU-ABD-087
G13039410,S195016305,GJ-KU-NAK-067
G13034648,S195016364,GJ-KU-LAK-074
G13034654,S195016410,GJ-KU-LAK-074
G13069062,S195016812,GJ-KU-BHA-005
G13032924,S195016817,GJ-KU-NAK-051
G13040690,S195017230,GJ-KU-MUN-026
G13040781,S195017469,GJ-KU-BHU-161
G13040780,S195017531,GJ-KU-MAN-008
G13033290,S195018087,GJ-KU-BHA-061
G13038286,S195018540,GJ-KU-RAP-007
G13033108,S195020276,GJ-KU-LAK-045
G13033107,S195020547,GJ-KU-LAK-055
G13069060,S195021587,GJ-KU-BHA-005
G13040331,S195021655,GJ-KU-MAN-040
G13040330,S195021713,GJ-KU-MAN-021
G13033239,S195021975,GJ-KU-LAK-022
G13040956,S195022139,GJ-KU-NAK-036
G13036024,S195022672,GJ-KU-LAK-015
G13035406,S195023061,GJ-KU-ABD-058
G13036017,S195023119,GJ-KU-LAK-024
G13035405,S195023323,GJ-KU-ABD-044
G13069059,S195023439,GJ-KU-BHA-005
G13069061,S195023597,GJ-KU-BHA-005
G13033205,S195023971,GJ-KU-LIT-014
G13033229,S195024103,GJ-KU-ABD-083
G13033232,S195024169,GJ-KU-ABD-085
G13069063,S195025141,GJ-KU-BHA-006
G13034653,S195025192,GJ-KU-ABD-010
G13065252,S195025579,GJ-KU-BHU-137
G13034651,S195027198,GJ-KU-ABD-001
G13069072,S195027643,GJ-KU-NAK-010
G13040863,S195029068,GJ-KU-ABD-078
G13065263,S195029106,GJ-KU-BHU-124
G13038282,S195032002,GJ-KU-RAP-016
G13033797,S195032098,GJ-KU-LAK-011
G13033579,S195032392,GJ-KU-RAP-064
G13033578,S195035065,GJ-KU-BHA-067
G13040864,S195038519,GJ-KU-ABD-072
G13048170,S195039166,GJ-KU-NAK-007
G13035202,S195043264,GJ-KU-NAK-057
G13035201,S195043762,GJ-KU-NAK-057
G13034650,S195043920,GJ-KU-ABD-001
G13034649,S195044077,GJ-KU-ABD-004
G13051608,S195046400,GJ-KU-RAN-478
G13046618,S195046955,GJ-KU-BHA-053
G13033793,S195047194,GJ-KU-LAK-003
G13039820,S195048675,GJ-KU-MAN-018
G13034553,S195053520,GJ-KU-BHA-073
G13051607,S195054384,GJ-KU-RAN-478
G13065267,S195055677,GJ-KU-BHU-084
G13040865,S195060108,GJ-KU-ABD-058
G13040329,S195061857,GJ-KU-MAN-046
G13035179,S195071671,GJ-KU-BHU-165
G13034949,S195074415,GJ-KU-LAK-048
G13035404,S195076224,GJ-KU-ABD-021
G13035200,S195076434,GJ-KU-NAK-051
G13035199,S195076736,GJ-KU-ABD-043
G13035198,S195076956,GJ-KU-NAK-050
G13035197,S195077035,GJ-KU-NAK-057
G13035403,S195077292,GJ-KU-ABD-013
G13035196,S195077361,GJ-KU-NAK-057
G13035054,S195077494,GJ-KU-LIT-051
G13035195,S195077720,GJ-KU-NAK-056
G13035194,S195080180,GJ-KU-NAK-056
G13035193,S195080252,GJ-KU-NAK-056
G13035191,S195080314,GJ-KU-ABD-043
G13035189,S195080394,GJ-KU-ABD-043
G13040941,S195087193,GJ-KU-NAK-048
G13035976,S195091730,GJ-KU-LAK-026
G13040125,S195092284,GJ-KU-ANJ-018
G13040133,S195092358,GJ-KU-ANJ-017
G13040132,S195092405,GJ-KU-ANJ-003
G13040131,S195092459,GJ-KU-ANJ-001
G13040530,S195093140,GJ-KU-LAK-035
G13040529,S195093361,GJ-KU-LAK-051
G13035967,S195093826,GJ-KU-LAK-027
G13035940,S195097562,GJ-KU-BHU-005
G13040347,S195097764,GJ-KU-NAK-046
G13035939,S195098357,GJ-KU-RAN-270
G13040346,S195098484,GJ-KU-NAK-012
G13035946,S195099228,GJ-KU-RAN-268
G13036020,S195100308,GJ-KU-RAN-266
G13039819,S195100319,GJ-KU-MAN-027
G13038740,S195101270,GJ-KU-RAN-115
G13038739,S195101734,GJ-KU-RAN-115
G13038738,S195103346,NA
G13038737,S195103661,GJ-KU-RAN-161
G13038736,S195103924,GJ-KU-BHU-003
G13038461,S195143861,GJ-KU-MUN-007
G13038462,S195144082,GJ-KU-MUN-002
G13069058,S195147239,GJ-KU-BHA-011
G13038772,S195148369,GJ-KU-MAN-011
G13040293,S195149834,GJ-KU-RAP-050
G13051606,S195152183,GJ-KU-BHA-011
G13040006,S195153001,GJ-KU-LAK-005
G13040687,S195153101,GJ-KU-MAN-024
G13039408,S195153108,GJ-KU-NAK-059
G13040234,S195153228,GJ-KU-RAP-085
G13039385,S195153660,GJ-KU-MAN-013
G13048169,S195153699,GJ-KU-NAK-011
G13040866,S195154013,GJ-KU-ABD-060
G13051329,S195154221,GJ-KU-NAK-027
G13050785,S195154732,GJ-KU-ANJ-013
G13040776,S195154757,GJ-KU-BHU-145
G13039635,S195155244,GJ-KU-BHA-058
G13040682,S195156031,GJ-KU-MUN-003
G13040090,S195156079,GJ-KU-NAK-052
G13040088,S195156128,GJ-KU-ABD-019
G13040087,S195156275,GJ-KU-ABD-019
G13040086,S195156289,GJ-KU-ABD-018
G13040085,S195156312,GJ-KU-ABD-018
G13051605,S195156463,GJ-KU-BHA-009
G13055665,S195156510,GJ-KU-BHU-090
G13040235,S195156638,GJ-KU-BHA-029
G13040363,S195157384,GJ-KU-BHU-102
G13055663,S195157484,GJ-KU-BHU-104
G13040084,S195157980,GJ-KU-ABD-027
G13039889,S195158180,GJ-KU-BHU-130
G13064026,S195158616,GJ-KU-MAN-029
G13046616,S195158732,GJ-KU-ANJ-005
G13048168,S195158761,GJ-KU-BHU-053
G13040681,S195158984,GJ-KU-BHU-168
G13065270,S195159197,GJ-KU-BHU-134
G13040205,S195159805,GJ-KU-RAP-029
G13040867,S195159883,GJ-KU-ABD-062
G13040427,S195160838,GJ-KU-LAK-067
G13069071,S195161073,GJ-KU-NAK-014
G13040426,S195161080,GJ-KU-LAK-058
G13040424,S195161100,GJ-KU-LAK-059
G13069073,S195161427,GJ-KU-NAK-052
G13040323,S195161548,GJ-KU-MAN-048
G13042854,S195161904,GJ-KU-NAK-068
G13040935,S195161985,GJ-KU-NAK-040
G13042855,S195162326,GJ-KU-BHU-141
G13040130,S195162661,GJ-KU-ANJ-011
G13040129,S195162737,GJ-KU-ANJ-008
G13048167,S195163351,GJ-KU-BHU-054
G13040153,S195163481,GJ-KU-BHU-017
G13051789,S195164397,GJ-KU-BHU-030
