GROUP.ID,SAMPLING.EVENT.IDENTIFIER,GRID_CODE
G13032823,S195004723,GJ-KU-NAK-043
G13032822,S195004990,GJ-KU-NAK-042
G13032509,S195006231,GJ-KU-LAK-031
G13069064,S195006559,GJ-KU-GAN-001
G13032742,S195006670,GJ-KU-LAK-009
G13032505,S195007020,GJ-KU-LAK-058
G13040684,S195010926,GJ-KU-MAN-052
G13032878,S195011056,GJ-KU-RAP-033
G13032821,S195011449,GJ-KU-NAK-041
G13032819,S195011502,GJ-KU-NAK-030
G13032818,S195011513,GJ-KU-NAK-041
G13038283,S195012576,GJ-KU-RAN-519
G13032826,S195013004,GJ-KU-MUN-011
G13032877,S195013007,GJ-KU-RAP-053
G13040685,S195013934,GJ-KU-MAN-051
G13038284,S195014048,GJ-KU-RAP-013
G13032816,S195014123,GJ-KU-NAK-043
G13065241,S195014514,GJ-KU-BHU-120
G13048171,S195014653,GJ-KU-LAK-041
G13033398,S195015261,GJ-KU-BHA-022
G13039413,S195015295,GJ-KU-RAP-073
G13040862,S195016292,GJ-KU-ABD-087
G13034648,S195016364,GJ-KU-LAK-074
G13069062,S195016812,GJ-KU-BHA-005
G13040690,S195017230,GJ-KU-MUN-026
G13040781,S195017469,GJ-KU-BHU-161
G13038286,S195018540,GJ-KU-RAP-007
G13069060,S195021587,GJ-KU-BHA-005
G13040330,S195021713,GJ-KU-MAN-021
G13040956,S195022139,GJ-KU-NAK-036
G13069059,S195023439,GJ-KU-BHA-005
G13033205,S195023971,GJ-KU-LIT-014
G13069063,S195025141,GJ-KU-BHA-006
G13034653,S195025192,GJ-KU-ABD-010
G13065252,S195025579,GJ-KU-BHU-137
G13034651,S195027198,GJ-KU-ABD-001
G13069072,S195027643,GJ-KU-NAK-010
G13040863,S195029068,GJ-KU-ABD-078
G13065263,S195029106,GJ-KU-BHU-124
G13038282,S195032002,GJ-KU-RAP-016
G13033579,S195032392,GJ-KU-RAP-064
G13033578,S195035065,GJ-KU-BHA-067
G13048170,S195039166,GJ-KU-NAK-007
G13035202,S195043264,GJ-KU-NAK-057
G13035201,S195043762,GJ-KU-NAK-057
G13034650,S195043920,GJ-KU-ABD-001
G13034649,S195044077,GJ-KU-ABD-004
G13051607,S195054384,GJ-KU-RAN-478
G13065267,S195055677,GJ-KU-BHU-084
G13040865,S195060108,GJ-KU-ABD-058
G13035200,S195076434,GJ-KU-NAK-051
G13035199,S195076736,GJ-KU-ABD-043
G13035198,S195076956,GJ-KU-NAK-050
G13035197,S195077035,GJ-KU-NAK-057
G13035054,S195077494,GJ-KU-LIT-051
G13035195,S195077720,GJ-KU-NAK-056
G13035194,S195080180,GJ-KU-NAK-056
G13035193,S195080252,GJ-KU-NAK-056
G13035191,S195080314,GJ-KU-ABD-043
G13040941,S195087193,GJ-KU-NAK-048
G13040529,S195093361,GJ-KU-LAK-051
G13035940,S195097562,GJ-KU-BHU-005
G13040346,S195098484,GJ-KU-NAK-012
G13035946,S195099228,GJ-KU-RAN-268
G13036020,S195100308,GJ-KU-RAN-266
G13038740,S195101270,GJ-KU-RAN-115
G13038739,S195101734,GJ-KU-RAN-115
G13038738,S195103346,NA
G13038737,S195103661,GJ-KU-RAN-161
G13038736,S195103924,GJ-KU-BHU-003
G13038461,S195143861,GJ-KU-MUN-007
G13038462,S195144082,GJ-KU-MUN-002
G13069058,S195147239,GJ-KU-BHA-011
G13040293,S195149834,GJ-KU-RAP-050
G13040234,S195153228,GJ-KU-RAP-085
G13040090,S195156079,GJ-KU-NAK-052
G13040087,S195156275,GJ-KU-ABD-019
G13040086,S195156289,GJ-KU-ABD-018
G13040085,S195156312,GJ-KU-ABD-018
G13055665,S195156510,GJ-KU-BHU-090
G13040235,S195156638,GJ-KU-BHA-029
G13055663,S195157484,GJ-KU-BHU-104
G13040084,S195157980,GJ-KU-ABD-027
G13048168,S195158761,GJ-KU-BHU-053
G13065270,S195159197,GJ-KU-BHU-134
G13040205,S195159805,GJ-KU-RAP-029
G13040867,S195159883,GJ-KU-ABD-062
G13040427,S195160838,GJ-KU-LAK-067
G13040426,S195161080,GJ-KU-LAK-058
G13040424,S195161100,GJ-KU-LAK-059
G13069073,S195161427,GJ-KU-NAK-052
G13040129,S195162737,GJ-KU-ANJ-008
G13048167,S195163351,GJ-KU-BHU-054
G13069065,S195166061,GJ-KU-RAP-088
G13051787,S195166381,GJ-KU-BHU-024
G13069069,S195166584,GJ-KU-RAP-096
G13040436,S195171437,GJ-KU-LIT-015
G13055661,S195171714,GJ-KU-BHU-139
G13041036,S195172832,GJ-KU-BHU-065
G13040842,S195175859,GJ-KU-ABD-070
G13046573,S195180880,GJ-KU-ABD-065
G13040844,S195185261,GJ-KU-BHU-133
G13041037,S195189871,GJ-KU-BHU-036
G13041039,S195190143,GJ-KU-RAN-531
G13041040,S195190608,GJ-KU-BHU-022
G13041187,S195190990,GJ-KU-ABD-053
G13041618,S195195032,GJ-KU-ABD-046
G13041617,S195195171,GJ-KU-ABD-044
G13041178,S195200025,GJ-KU-LAK-060
G13042620,S195200834,GJ-KU-BHU-005
G13042619,S195203802,GJ-KU-RAN-219
G13041367,S195204670,GJ-KU-BHU-013
G13042618,S195212665,GJ-KU-BHU-050
G13042617,S195228537,GJ-KU-RAN-170
G13042616,S195228974,GJ-KU-RAN-170
G13042615,S195229321,GJ-KU-BHU-069
G13042614,S195229820,GJ-KU-LIT-040
G13042613,S195230062,GJ-KU-RAN-172
G13047099,S195309864,GJ-KU-LAK-052
G13047098,S195309909,GJ-KU-LAK-037
G13055659,S195323550,GJ-KU-BHU-150
G13055658,S195324423,GJ-KU-BHU-150
G13047139,S195326546,GJ-KU-BHU-115
G13050939,S195361818,GJ-KU-RAP-010
G13050936,S195364620,GJ-KU-RAP-002
G13051583,S195430925,GJ-KU-BHA-022
G13122290,S197113829,GJ-KU-RAN-505
G14079058,S210576729,GJ-KU-LIT-054
G13917056,S210583151,GJ-KU-LIT-105
G13885805,S210592241,GJ-KU-LIT-127
G13886135,S210601822,GJ-SN-DAS-005
G14420054,S210614859,GJ-KU-RAP-095
G14420053,S210699711,GJ-KU-LIT-098
G13893528,S210707037,GJ-SN-DHR-001
G13917054,S210707642,GJ-SN-DHR-001
G14420051,S210707691,GJ-KU-LIT-100
G13893561,S210707860,GJ-SN-DAS-005
G13893650,S210709686,GJ-KU-LIT-109
G13894126,S210716212,GJ-KU-LIT-147
G13895489,S210716862,GJ-KU-LIT-091
G13895488,S210717004,GJ-KU-LIT-089
G13895487,S210717132,GJ-KU-LIT-106
G13895486,S210717180,GJ-KU-LIT-125
G13894708,S210718942,GJ-KU-RAN-545
G13896913,S210720927,GJ-KU-RAP-058
G13896911,S210721332,GJ-KU-RAN-577
G13896910,S210723171,GJ-KU-RAP-072
G13896909,S210723421,GJ-KU-RAP-083
G14420049,S210723884,GJ-KU-LIT-049
G14420048,S210723997,GJ-KU-LIT-047
G14420047,S210724579,GJ-KU-LIT-035
G13926707,S210877476,GJ-KU-RAP-090
G14420046,S210877802,GJ-KU-LIT-064
G14420045,S211313041,GJ-KU-LIT-110
G14079056,S211313070,GJ-KU-LIT-067
G14420044,S211313113,GJ-KU-RAP-095
G14079057,S211313126,GJ-KU-LIT-068
