GROUP.ID,SAMPLING.EVENT.IDENTIFIER,GRID_CODE
G18460333,S396421470,GJ-KU-BHU-018
G18460350,S396422704,GJ-KU-BHU-018
G18460376,S396425662,GJ-KU-BHU-047
G18460472,S396427149,GJ-KU-ANJ-012
S396439969,S396439969,GJ-KU-ABD-073
S396444025,S396444025,GJ-KU-ABD-010
G18460640,S396452273,GJ-KU-RAP-074
G18461111,S396459146,GJ-KU-LAK-011
G18461116,S396459957,GJ-KU-LAK-018
G18461284,S396487026,GJ-KU-MUN-002
G18461286,S396488991,GJ-KU-ANJ-027
G18461285,S396489421,GJ-KU-MUN-002
G18461696,S396497053,GJ-KU-MUN-011
S396509424,S396509424,GJ-KU-BHU-147
G18461699,S396509990,GJ-KU-MUN-026
G18461684,S396510825,GJ-KU-LAK-043
G18461701,S396511234,GJ-KU-LAK-043
G18461735,S396512537,GJ-KU-NAK-005
G18461741,S396512831,GJ-KU-NAK-005
G18461749,S396513065,GJ-KU-LAK-043
G18461755,S396513266,GJ-KU-LAK-043
